scan,proc_ms
1,24.54
2,27.19
3,33.04
4,15.29
5,37.78
6,16.48
7,23.66
8,14.47
9,23.12
10,17.79
11,24.31
12,28.77
13,15.69
14,37.08
15,16.23
16,31.45
17,22.81
18,28.34
19,27.32
20,15.32
21,15.28
22,21.16
23,19.08
24,44.72
25,16.31
26,15.86
27,30.62
28,29.75
29,21.29
30,31.53
31,15.95
32,25.19
33,16.56
34,16.67
35,25.50
36,39.51
37,15.97
38,24.81
39,19.59
40,14.74
41,17.43
42,17.77
43,18.91
44,27.12
45,31.29
46,16.72
47,17.01
48,19.77
49,17.99
50,17.46
51,16.73
52,25.16
53,27.35
54,17.65
55,16.23
56,18.59
57,16.24
58,19.03
59,27.42
60,17.93
61,20.14
62,17.57
63,18.19
64,20.39
65,18.47
66,21.53
67,17.52
68,19.18
69,64.55
70,23.29
71,33.51
72,17.64
73,17.43
74,17.27
75,19.28
76,28.79
77,30.97
78,30.33
79,24.74
80,18.12
81,18.63
82,18.05
83,33.19
84,19.25
85,21.77
86,29.46
87,19.49
88,21.35
89,19.11
90,33.85
91,19.49
92,18.28
93,20.93
94,20.77
95,28.16
96,22.15
97,18.94
98,28.18
99,20.97
100,20.86
101,32.76
102,28.96
103,31.99
104,19.97
105,19.90
106,28.04
107,31.45
108,23.15
109,42.20
110,26.06
111,28.37
112,31.26
113,20.54
114,21.81
115,19.41
116,20.60
117,20.15
118,20.55
119,25.35
120,34.59
121,25.87
122,21.69
123,21.49
124,21.30
125,20.08
126,20.86
127,34.04
128,21.87
129,21.85
130,21.66
131,22.94
132,19.98
133,30.43
134,30.17
135,23.04
136,24.11
137,34.79
138,28.00
139,28.44
140,35.68
141,49.61
142,40.71
143,26.73
144,31.97
145,42.19
146,24.26
147,20.59
148,28.62
149,31.77
150,20.32
151,20.02
152,24.55
153,33.60
154,21.22
155,19.83
156,22.46
157,24.66
158,20.82
159,21.59
160,21.27
161,35.50
162,53.69
163,21.76
164,27.49
165,33.47
166,30.85
167,21.80
168,23.40
169,23.16
170,23.73
171,21.37
172,20.30
173,21.39
174,20.87
175,26.25
176,21.47
177,32.00
178,23.38
179,22.71
180,22.09
181,21.83
182,21.25
183,22.06
184,47.12
185,29.72
186,40.02
187,32.25
188,22.77
189,23.07
190,22.63
191,22.84
192,22.86
193,34.19
194,33.66
195,33.33
196,25.67
197,22.26
198,21.66
199,22.67
200,24.54
201,22.50
202,24.85
203,34.55
204,25.90
205,20.88
206,35.20
207,29.20
208,25.65
209,22.60
210,28.97
211,41.65
212,26.18
213,21.96
214,22.29
215,24.52
216,26.56
217,23.07
218,22.39
219,48.00
220,43.95
221,23.24
222,20.49
223,21.82
224,23.67
225,22.85
226,23.40
227,27.23
228,29.00
229,29.87
230,26.77
231,28.85
232,29.02
233,29.37
234,22.78
235,31.70
236,40.03
237,42.58
238,22.98
239,26.71
240,21.33
241,22.70
242,22.92
243,26.42
244,42.23
245,27.50
246,33.30
247,45.21
248,29.62
249,44.70
250,26.44
251,24.38
252,42.23
253,39.64
254,57.25
255,27.42
256,22.33
257,25.60
258,33.98
259,22.45
260,29.98
261,28.89
262,40.20
263,29.67
264,23.75
265,29.38
266,23.52
267,23.62
268,24.13
269,34.06
270,27.90
271,472.31
272,17.51
273,26.15
274,26.97
275,25.76
276,24.76
277,25.28
278,25.08
279,23.38
280,27.14
281,25.46
282,24.92
283,25.66
284,24.48
285,26.37
286,31.26
287,25.84
288,38.51
289,40.47
290,43.28
291,26.74
292,25.36
293,31.69
294,34.94
295,31.50
296,47.26
297,34.78
298,39.59
299,30.13
300,35.37
301,28.24
302,33.57
303,29.82
304,34.90
305,49.74
306,30.94
307,31.52
308,29.34
309,30.71
310,28.35
311,28.96
312,28.35
313,28.23
314,30.78
315,31.02
316,34.66
317,31.94
318,33.51
319,34.51
320,30.99
321,33.63
322,44.10
323,46.96
324,32.02
325,42.23
326,51.49
327,32.20
328,29.92
329,34.21
330,39.26
331,50.13
332,41.78
333,31.91
334,30.71
335,38.13
336,36.69
337,34.06
338,55.54
339,46.87
340,37.06
341,33.71
342,33.06
343,46.58
344,49.18
345,38.46
346,45.39
347,41.26
348,39.69
349,44.24
350,31.51
351,30.56
352,32.35
353,46.71
354,45.25
355,63.04
356,47.37
357,45.64
358,36.75
359,38.17
360,33.52
